X,Y
-Infinity,141.323
-Infinity,141.032
-Infinity,139.774
-Infinity,143.774
-Infinity,144.387
-Infinity,143.581
-Infinity,141.710
-Infinity,146.032
-Infinity,142.839
-Infinity,144.613
-Infinity,144.871
-Infinity,141.581
-Infinity,144.839
-Infinity,138.935
-Infinity,140.742
-Infinity,146.516
-Infinity,145.774
-Infinity,144.097
-Infinity,144.419
-Infinity,142.806
-Infinity,147.226
-Infinity,143.742
-Infinity,146.548
-Infinity,142.226
-Infinity,143.484
-Infinity,143.129
-Infinity,144.452
-Infinity,144.419
-Infinity,144.871
-Infinity,143.935
-Infinity,146.968
-Infinity,145.677
-Infinity,141.000
-Infinity,147.742
-Infinity,142.258
-Infinity,145.710
-Infinity,144.548
-Infinity,147.677
-Infinity,139.710
-Infinity,142.387
-Infinity,145.677
-Infinity,144.323
-Infinity,139.161
-Infinity,139.097
-Infinity,144.419
-Infinity,143.806
-Infinity,143.258
-Infinity,145.581
-Infinity,143.419
-Infinity,143.290
-Infinity,144.710
-Infinity,148.290
-Infinity,143.645
-Infinity,142.226
-Infinity,143.645
-Infinity,144.419
-Infinity,147.161
-Infinity,138.032
-Infinity,143.194
-Infinity,136.097
-Infinity,143.161
-Infinity,143.290
-Infinity,143.161
-Infinity,135.516
-Infinity,142.065
-Infinity,140.710
-Infinity,146.129
-Infinity,138.903
-Infinity,142.774
-Infinity,139.452
-Infinity,142.323
-Infinity,147.935
-Infinity,135.839
-Infinity,141.677
-Infinity,143.065
-Infinity,139.097
-Infinity,140.516
-Infinity,141.581
-Infinity,145.581
-Infinity,141.935
-Infinity,143.258
-Infinity,145.097
-Infinity,147.226
-Infinity,141.000
-Infinity,141.806
-Infinity,143.387
-Infinity,142.581
-Infinity,136.323
-Infinity,137.774
-Infinity,141.032
-Infinity,141.742
-Infinity,141.871
-Infinity,144.355
-Infinity,142.484
-Infinity,141.419
-Infinity,143.452
-Infinity,141.323
-Infinity,135.645
-Infinity,140.645
-Infinity,141.839
-Infinity,142.258
-Infinity,148.226
-Infinity,140.065
-Infinity,144.226
-Infinity,142.097
-Infinity,140.419
